host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
within an hour,1.0,0.88,False,1.0,True,True,Waterfront Communities-The Island,43.64478,-79.39201,Entire condo,Entire home/apt,4,1.0,2.0,371.0,1,1124,3,5,35,310,219,36,6,4.88,4.9,4.87,4.84,4.95,4.97,4.82,False,3.68,31,3352.0
within an hour,1.0,1.0,False,3.0,True,True,Little Portugal,43.65224,-79.43165,Entire home,Entire home/apt,4,2.0,2.0,918.0,5,8,8,8,8,8,2,0,0,4.5,4.5,4.0,4.0,4.5,4.5,4.0,False,0.04,47,579.0
within an hour,1.0,1.0,True,1.0,True,True,Niagara,43.63543,-79.40374,Entire condo,Entire home/apt,2,1.0,1.0,337.0,28,1125,2,2,2,2,172,27,1,4.92,4.97,4.88,4.97,4.98,4.97,4.85,False,2.93,46,2465.0
within an hour,1.0,1.0,False,5.0,True,True,Waterfront Communities-The Island,43.64751,-79.3927,Entire rental unit,Entire home/apt,5,2.0,3.0,293.0,30,120,8,13,43,158,119,0,0,4.93,4.94,4.92,4.95,4.95,5.0,4.86,True,2.04,44,1942.0
no response,0.0,0.0,False,2.0,True,False,Church-Yonge Corridor,43.66026,-79.37918,Private room in rental unit,Private room,2,1.0,1.0,85.0,28,1125,0,0,0,0,78,0,0,4.85,4.97,4.97,4.87,4.95,5.0,4.86,False,1.31,23,3329.0
within an hour,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.63918,-79.39648,Entire rental unit,Entire home/apt,4,2.0,2.0,350.0,28,120,7,37,67,157,83,0,0,4.99,4.98,4.96,4.94,4.99,4.99,4.93,False,1.46,37,2448.0
within a few hours,1.0,0.94,False,1.0,True,True,Princess-Rosethorn,43.65939,-79.53062,Entire home,Entire home/apt,3,1.0,2.0,151.0,1,365,8,11,40,130,7,7,0,5.0,5.0,5.0,5.0,5.0,4.71,5.0,False,1.6,38,2139.0
no response,0.0,0.0,False,3.0,True,True,Steeles,43.81648,-79.33515,Private room in townhouse,Private room,2,1.0,1.0,88.0,28,1125,0,0,0,0,6,0,0,4.83,4.67,4.5,4.83,4.67,4.67,5.0,True,0.1,14,3346.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64413,-79.38989,Entire condo,Entire home/apt,3,1.0,2.0,79.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,4.33,5.0,5.0,5.0,5.0,True,0.05,15,2415.0
within an hour,1.0,1.0,False,20.0,True,True,Tam O'Shanter-Sullivan,43.77178,-79.30352,Private room in home,Private room,2,1.0,2.0,159.0,1,1125,24,54,84,359,60,18,3,4.55,4.72,4.65,4.72,4.78,4.73,4.48,True,1.02,15,3188.0
within a few hours,1.0,1.0,False,3.0,True,True,Dovercourt-Wallace Emerson-Junction,43.67371,-79.43784,Entire rental unit,Entire home/apt,4,1.0,2.0,98.0,28,1125,0,0,29,304,105,1,0,4.8,4.92,4.79,4.99,4.93,4.68,4.76,False,1.77,20,1998.0
a few days or more,0.0,0.46,False,3.0,True,True,Cabbagetown-South St.James Town,43.66541,-79.37794,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,28,1125,0,0,6,281,98,1,1,4.76,4.9,4.96,4.95,4.89,4.87,4.76,False,1.65,32,2184.0
no response,0.0,0.0,False,1.0,True,True,Junction Area,43.66388,-79.46602,Private room in rental unit,Private room,2,1.0,1.0,50.0,28,1125,0,0,0,0,4,0,0,4.0,4.33,3.67,4.33,4.33,4.67,4.0,True,0.07,13,2347.0
no response,0.0,0.0,False,2.0,True,True,Little Portugal,43.64392,-79.4283,Entire rental unit,Entire home/apt,5,2.0,2.0,135.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,False,0.05,30,2483.0
within an hour,1.0,0.84,True,27.0,True,False,Pelmo Park-Humberlea,43.70895,-79.52535,Private room in home,Private room,2,1.0,1.0,99.0,30,999,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,False,0.03,21,2453.0
within an hour,1.0,0.84,True,27.0,True,False,Pelmo Park-Humberlea,43.70649,-79.52709,Private room in home,Private room,1,1.0,1.0,99.0,30,999,0,0,0,0,3,0,0,5.0,5.0,4.67,5.0,5.0,4.67,4.67,False,0.05,23,2453.0
within an hour,1.0,0.95,False,4.0,True,True,South Parkdale,43.63839,-79.43948,Entire home,Entire home/apt,2,1.0,2.0,75.0,28,1125,7,37,67,155,74,1,0,4.83,4.87,4.63,4.97,5.0,4.9,4.93,False,1.27,24,2132.0
within a few hours,1.0,0.98,True,2.0,True,True,High Park-Swansea,43.65121,-79.45351,Entire guest suite,Entire home/apt,1,1.0,1.0,60.0,2,90,0,0,0,0,93,33,4,4.87,4.96,4.89,4.97,4.95,4.87,4.93,False,1.66,25,1199.0
no response,0.0,0.0,False,1.0,True,True,Trinity-Bellwoods,43.64699,-79.42216,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,28,30,0,0,0,0,218,0,0,4.9,4.95,4.94,4.98,4.93,4.95,4.86,True,3.67,24,3356.0
no response,0.0,0.0,False,1.0,True,True,Cabbagetown-South St.James Town,43.66599,-79.3725,Entire rental unit,Entire home/apt,4,1.0,2.0,90.0,28,1125,0,0,0,0,6,0,0,4.67,4.83,4.33,4.67,4.83,4.83,4.67,False,0.1,17,2629.0
no response,0.0,1.0,True,4.0,True,True,Niagara,43.63647,-79.40223,Entire condo,Entire home/apt,2,1.0,1.0,89.0,28,300,0,0,0,0,93,0,0,4.84,4.86,4.74,4.86,4.92,4.84,4.68,True,1.58,40,3008.0
no response,0.0,0.0,False,1.0,True,True,Cabbagetown-South St.James Town,43.66695,-79.36454,Private room in home,Private room,3,1.0,1.0,115.0,28,1125,0,0,0,59,83,0,0,4.83,4.85,4.89,4.82,4.95,4.82,4.82,False,1.41,22,1289.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73591,-79.27607,Private room in bungalow,Private room,3,1.0,2.0,55.0,28,1125,6,8,24,256,29,1,0,4.97,4.79,4.93,4.97,4.93,4.59,4.93,False,0.49,28,3324.0
within a day,1.0,0.35,False,7.0,True,True,Briar Hill-Belgravia,43.6991,-79.45381,Private room in rental unit,Private room,1,1.0,1.0,34.0,28,1125,0,6,36,311,8,4,0,3.75,3.75,3.63,4.25,4.0,4.0,3.75,False,0.14,15,2613.0
no response,0.0,0.0,False,5.0,True,True,Casa Loma,43.68164,-79.41251,Entire rental unit,Entire home/apt,4,2.0,2.0,289.0,28,150,6,36,66,341,3,0,0,5.0,4.67,5.0,5.0,5.0,5.0,4.33,False,0.06,22,2139.0
no response,0.0,0.0,False,3.0,True,True,Don Valley Village,43.77734,-79.34938,Private room in rental unit,Private room,2,1.0,1.0,39.0,28,188,0,0,0,0,1,0,0,3.0,3.0,1.0,4.0,5.0,3.0,2.0,True,0.02,17,3230.0
no response,0.0,0.0,False,2.0,True,True,Little Portugal,43.64319,-79.42445,Private room in condo,Private room,2,1.0,1.0,73.0,28,1125,0,0,0,0,6,0,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,False,0.1,17,2241.0
no response,0.0,0.0,False,1.0,True,True,Rosedale-Moore Park,43.68437,-79.38602,Entire home,Entire home/apt,2,1.0,1.0,145.0,28,1125,0,0,0,249,24,0,0,4.88,4.96,4.96,5.0,4.96,5.0,4.88,True,0.41,24,3345.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73601,-79.27739,Private room in bungalow,Private room,2,1.0,1.0,55.0,28,365,0,0,0,215,13,1,0,4.62,5.0,5.0,4.92,4.85,4.54,4.85,False,0.23,28,3324.0
within a day,1.0,1.0,True,1.0,True,True,Don Valley Village,43.79061,-79.36361,Entire home,Entire home/apt,2,1.0,1.0,57.0,28,1125,0,0,28,113,32,4,0,4.94,4.91,4.78,4.94,4.97,4.81,4.94,True,0.55,30,2894.0
within an hour,1.0,1.0,True,3.0,True,True,Willowdale West,43.76901,-79.41911,Private room in bungalow,Private room,1,1.0,1.0,56.0,2,1125,1,5,18,264,63,23,2,4.97,4.98,4.97,5.0,5.0,4.95,4.76,False,1.11,29,2252.0
within an hour,1.0,1.0,True,1.0,True,True,Roncesvalles,43.64094,-79.43747,Entire loft,Entire home/apt,4,1.0,1.0,145.0,28,31,7,22,52,142,116,5,1,4.92,4.99,4.95,4.99,4.99,4.81,4.84,False,1.98,18,2603.0
within an hour,1.0,1.0,True,2.0,True,True,Niagara,43.63956,-79.4153,Entire condo,Entire home/apt,4,1.0,1.0,280.0,28,1125,0,20,50,139,17,3,0,4.94,5.0,4.88,5.0,5.0,5.0,4.82,True,0.33,60,2288.0
no response,0.0,0.0,False,1.0,True,True,Annex,43.66673,-79.4051,Entire rental unit,Entire home/apt,4,1.0,1.0,85.0,28,90,0,0,0,0,13,0,0,4.92,4.83,4.83,4.92,5.0,5.0,4.83,True,0.22,20,2493.0
within an hour,1.0,0.94,True,7.0,True,True,Rouge,43.79744,-79.13716,Entire rental unit,Entire home/apt,2,1.0,2.0,199.0,29,1125,28,58,88,178,26,2,0,4.62,4.68,4.72,4.85,4.73,4.8,4.65,False,0.46,39,3359.0
no response,0.0,0.0,False,1.0,True,False,Wychwood,43.67443,-79.42987,Entire rental unit,Entire home/apt,2,1.0,1.0,39.0,28,1125,0,0,0,0,3,0,0,3.67,3.33,4.33,5.0,3.67,5.0,5.0,False,0.05,12,2600.0
no response,0.0,0.0,False,1.0,True,False,Greenwood-Coxwell,43.67463,-79.32769,Entire guest suite,Entire home/apt,2,1.0,1.0,75.0,28,1125,0,0,0,0,25,0,0,4.92,4.96,4.76,4.96,5.0,4.8,4.88,False,0.43,25,2431.0
no response,0.0,0.0,False,2.0,True,False,Islington-City Centre West,43.65401,-79.55648,Entire guest suite,Entire home/apt,4,2.0,2.0,129.0,28,1125,27,57,87,177,7,0,0,5.0,4.86,5.0,5.0,5.0,5.0,5.0,False,0.12,21,3345.0
a few days or more,0.0,0.0,False,2.0,True,False,Agincourt South-Malvern West,43.78862,-79.26913,Private room in home,Private room,4,1.0,2.0,65.0,28,30,29,59,89,89,3,0,0,4.33,5.0,5.0,5.0,5.0,4.67,4.67,False,0.05,17,3283.0
no response,0.0,1.0,False,4.0,True,True,Stonegate-Queensway,43.63054,-79.48679,Private room in home,Private room,1,1.0,1.0,45.0,28,30,6,36,66,66,27,0,0,4.93,5.0,4.81,4.93,5.0,4.96,4.78,False,0.46,18,3267.0
no response,0.0,0.0,False,11.0,True,True,Weston-Pellam Park,43.66848,-79.45191,Private room in home,Private room,1,1.0,1.0,92.0,30,1000,0,0,0,129,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.07,18,1922.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.63959,-79.39685,Entire rental unit,Entire home/apt,4,2.0,2.0,127.0,28,1125,0,0,0,0,130,0,0,4.62,4.72,4.72,4.54,4.91,4.86,4.63,False,2.2,26,3353.0
no response,0.0,0.0,False,1.0,True,True,Humewood-Cedarvale,43.68667,-79.42031,Entire rental unit,Entire home/apt,3,1.0,3.0,83.0,28,1125,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,0.09,26,2508.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73758,-79.2757,Private room in bungalow,Private room,1,1.0,1.0,51.0,28,365,0,0,0,250,10,0,0,4.9,4.8,5.0,4.9,4.9,4.4,5.0,False,0.17,27,3324.0
within a few hours,1.0,1.0,False,2.0,True,True,Palmerston-Little Italy,43.66178,-79.42103,Entire guest suite,Entire home/apt,2,1.0,1.0,357.0,6,180,0,0,0,0,76,0,0,4.95,4.97,4.96,4.97,4.97,4.97,4.93,False,1.3,55,1393.0
within a few hours,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.64778,-79.39171,Entire rental unit,Entire home/apt,4,1.0,2.0,585.0,2,1125,20,50,80,164,126,25,3,4.84,4.87,4.68,4.75,4.9,4.99,4.7,False,2.13,45,3361.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73606,-79.27634,Private room in bungalow,Private room,2,1.0,1.0,53.0,28,365,12,12,33,266,24,6,1,4.83,4.83,4.71,4.96,4.92,4.58,4.92,False,0.42,28,3324.0
no response,0.0,0.0,False,1.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66691,-79.44544,Entire home,Entire home/apt,5,2.0,3.0,70.0,28,28,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.02,17,1997.0
no response,0.0,0.0,False,1.0,True,False,Waterfront Communities-The Island,43.64862,-79.39324,Entire condo,Entire home/apt,2,1.0,1.0,250.0,28,1125,0,0,0,0,1,0,0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,True,0.02,16,3363.0
no response,0.0,0.0,False,2.0,True,True,Trinity-Bellwoods,43.6541,-79.41665,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,28,1125,0,0,0,0,5,0,0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,False,0.09,9,1041.0
no response,0.0,0.5,False,3.0,True,True,Annex,43.67859,-79.39232,Entire home,Entire home/apt,6,3.0,3.0,364.0,28,1125,0,0,0,0,11,0,0,5.0,5.0,5.0,4.8,5.0,5.0,4.8,True,0.19,37,2494.0
within a few hours,1.0,0.57,False,1.0,True,True,High Park-Swansea,43.64659,-79.45265,Entire rental unit,Entire home/apt,4,2.0,2.0,250.0,3,90,0,0,0,88,8,5,0,4.88,4.88,5.0,5.0,5.0,5.0,4.63,False,0.14,37,3376.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64989,-79.38752,Entire townhouse,Entire home/apt,6,2.0,3.0,235.0,28,1125,0,0,0,0,86,0,0,4.98,4.95,4.98,4.86,4.98,5.0,4.9,False,1.48,37,3210.0
within a few hours,1.0,1.0,True,3.0,True,True,Woodbine Corridor,43.6846,-79.31439,Entire rental unit,Entire home/apt,4,2.0,2.0,185.0,28,1125,0,0,0,263,50,5,1,4.72,4.72,4.7,4.88,4.92,4.8,4.62,False,0.87,35,3078.0
within a few hours,1.0,1.0,True,3.0,True,True,Danforth East York,43.6864,-79.31318,Entire rental unit,Entire home/apt,2,1.0,1.0,117.0,28,1125,0,0,0,263,70,3,0,4.67,4.76,4.76,4.87,4.89,4.84,4.56,False,1.2,34,3078.0
no response,0.0,0.0,False,1.0,False,False,Woodbine Corridor,43.68105,-79.31904,Private room in home,Private room,2,1.0,1.0,50.0,28,1125,0,0,0,0,9,0,0,5.0,4.88,5.0,5.0,5.0,5.0,4.88,False,0.15,13,3377.0
no response,0.0,0.0,False,1.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66247,-79.4546,Entire townhouse,Entire home/apt,4,1.0,2.0,145.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.02,26,1138.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73613,-79.2757,Private room in bungalow,Private room,2,1.0,1.0,51.0,28,362,7,22,39,314,10,1,0,5.0,4.9,5.0,5.0,4.9,4.9,4.8,False,0.18,28,3324.0
within an hour,1.0,0.94,True,5.0,True,True,Bay Street Corridor,43.65051,-79.38221,Private room in condo,Private room,1,1.0,1.0,105.0,30,366,0,0,3,64,55,4,0,5.0,4.98,4.98,4.98,5.0,4.98,4.91,False,0.94,45,2938.0
no response,0.0,0.0,False,3.0,True,True,Weston,43.69433,-79.50831,Private room in bungalow,Private room,2,1.0,1.0,53.0,28,1125,0,0,0,0,173,0,0,4.76,4.86,4.8,4.91,4.8,4.52,4.73,False,2.94,31,3026.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.6391,-79.41234,Entire townhouse,Entire home/apt,2,1.0,2.0,166.0,28,1125,0,0,0,0,159,0,0,4.87,4.76,4.86,4.97,4.97,4.94,4.72,True,2.7,30,3364.0
within a day,1.0,0.84,True,4.0,True,True,Little Portugal,43.64237,-79.42225,Private room in condo,Private room,1,1.0,1.0,55.0,28,1125,1,1,1,79,9,6,0,4.75,4.63,4.63,4.88,5.0,4.75,4.5,False,0.15,43,3377.0
within an hour,0.99,0.75,False,29.0,True,True,Willowdale East,43.76257,-79.41062,Entire rental unit,Entire home/apt,4,2.0,2.0,243.0,1,365,21,44,74,349,36,12,4,4.14,4.19,4.17,4.08,4.25,4.78,4.08,False,0.72,21,2009.0
within an hour,1.0,0.81,False,28.0,True,True,Waterfront Communities-The Island,43.64111,-79.37793,Private room in condo,Private room,1,1.0,1.0,120.0,28,180,7,31,31,31,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.07,33,2504.0
within a few hours,1.0,0.67,False,1.0,True,True,High Park North,43.65916,-79.47493,Entire rental unit,Entire home/apt,6,3.0,3.0,187.0,30,1124,17,47,77,167,60,1,0,4.83,4.88,4.95,4.9,4.98,4.75,4.8,False,1.04,37,3365.0
within an hour,1.0,0.97,True,2.0,True,True,Waterfront Communities-The Island,43.64288,-79.38062,Entire condo,Entire home/apt,4,1.0,2.0,248.0,2,1125,16,46,76,129,99,34,5,4.95,4.95,4.93,4.94,4.98,4.99,4.89,False,1.73,62,3352.0
no response,0.0,0.0,False,1.0,True,True,West Humber-Clairville,43.7197,-79.60285,Entire condo,Entire home/apt,5,1.0,2.0,99.0,28,1125,0,0,0,0,9,0,0,4.67,4.67,4.78,4.89,4.78,4.44,4.44,True,0.16,17,3360.0
no response,0.0,0.0,False,1.0,True,False,Blake-Jones,43.67449,-79.34137,Private room in townhouse,Private room,2,1.0,1.0,89.0,28,1125,0,0,0,0,1,0,0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,False,0.02,16,3341.0
within an hour,1.0,1.0,True,28.0,True,True,Waterfront Communities-The Island,43.64187,-79.38191,Entire condo,Entire home/apt,6,3.0,3.0,971.0,3,1125,20,48,74,96,140,43,2,4.84,4.98,5.0,4.96,4.98,5.0,4.74,False,2.45,24,1818.0
no response,0.0,0.0,False,5.0,True,True,Niagara,43.63621,-79.40747,Entire condo,Entire home/apt,5,2.0,3.0,450.0,28,1125,0,0,0,0,29,0,0,4.79,4.9,4.59,4.86,4.93,4.93,4.66,False,0.5,41,2452.0
no response,0.0,0.0,False,4.0,True,True,Newtonbrook West,43.78412,-79.42826,Private room in home,Private room,1,1.0,1.0,35.0,30,120,0,0,0,0,1,0,0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,False,0.02,15,3379.0
within a day,1.0,0.25,False,1.0,True,False,Playter Estates-Danforth,43.67838,-79.3605,Entire rental unit,Entire home/apt,2,1.0,1.0,55.0,60,1125,0,0,0,123,3,0,0,4.5,4.5,4.5,5.0,5.0,4.5,5.0,False,0.05,27,3346.0
within an hour,1.0,0.93,True,4.0,True,True,Bayview Woods-Steeles,43.80384,-79.37876,Entire home,Entire home/apt,2,1.0,1.0,142.0,3,1125,26,56,86,86,134,27,2,4.61,4.84,4.78,4.99,4.88,4.68,4.62,False,2.26,24,3187.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.63632,-79.4066,Entire home,Entire home/apt,2,1.0,1.0,79.0,28,1125,0,0,0,0,25,0,0,4.84,4.88,4.68,4.84,4.92,4.88,4.72,True,0.43,31,3379.0
no response,0.0,0.0,False,4.0,True,True,Bay Street Corridor,43.6619,-79.38575,Entire rental unit,Entire home/apt,4,2.0,2.0,118.0,28,30,0,0,0,0,70,0,0,4.47,4.67,4.27,4.83,4.89,4.93,4.5,True,1.19,26,3281.0
no response,0.0,0.0,False,7.0,True,False,York University Heights,43.75121,-79.50036,Private room in home,Private room,5,2.0,4.0,61.0,28,90,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.02,23,3355.0
within an hour,0.8,0.88,True,1.0,True,True,Cabbagetown-South St.James Town,43.66375,-79.37585,Entire condo,Entire home/apt,4,2.0,2.0,266.0,4,28,0,0,0,0,120,10,1,4.96,4.98,4.87,4.97,5.0,4.97,4.92,False,2.12,38,2566.0
a few days or more,0.0,0.0,False,6.0,True,True,Guildwood,43.75637,-79.19032,Entire rental unit,Entire home/apt,3,1.0,1.0,62.0,28,250,0,0,0,190,119,0,0,4.53,4.73,4.27,4.76,4.85,4.64,4.71,True,2.05,19,2290.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64423,-79.39223,Entire condo,Entire home/apt,3,1.0,1.0,113.0,28,30,0,0,0,0,43,0,0,4.9,4.98,4.6,4.95,5.0,5.0,4.9,False,0.75,25,2473.0
within an hour,0.78,0.99,False,23.0,True,True,South Parkdale,43.64132,-79.43134,Room in hostel,Hotel room,1,1.0,2.0,42.0,1,1125,7,17,47,301,65,13,1,4.43,4.54,4.25,4.75,4.71,4.72,4.54,True,1.12,31,910.0
within a few hours,1.0,0.83,False,1.0,True,True,South Parkdale,43.6373,-79.44136,Entire guest suite,Entire home/apt,3,2.0,2.0,125.0,29,70,1,4,34,213,29,4,1,4.66,4.83,4.66,4.9,4.69,4.76,4.62,False,0.5,29,3381.0
within an hour,1.0,0.81,False,5.0,True,True,Danforth,43.68765,-79.31664,Private room in home,Private room,1,1.0,1.0,63.0,30,60,6,36,66,66,8,3,0,4.75,4.63,4.38,4.88,5.0,4.63,4.75,False,0.2,53,2102.0
no response,0.0,0.0,False,17.0,True,True,Don Valley Village,43.7871,-79.36589,Private room in villa,Private room,2,1.0,1.0,61.0,28,1125,0,0,0,0,22,0,0,4.33,4.55,4.41,4.68,4.5,4.55,4.45,True,0.38,14,3259.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.63936,-79.39625,Entire rental unit,Entire home/apt,3,2.0,2.0,135.0,4,1123,0,0,0,0,37,0,0,4.83,4.92,4.42,4.97,4.92,5.0,4.86,False,0.65,41,1454.0
within an hour,1.0,0.97,True,5.0,True,True,Palmerston-Little Italy,43.65498,-79.42135,Private room in townhouse,Private room,2,1.0,1.0,110.0,1,30,3,16,21,21,75,35,3,4.91,4.93,4.89,4.93,4.92,4.91,4.78,False,1.29,52,2131.0
within an hour,1.0,0.92,True,8.0,True,True,Woodbine Corridor,43.66693,-79.3168,Entire home,Entire home/apt,6,3.0,4.0,250.0,28,1125,2,2,2,84,104,5,0,4.76,4.77,4.83,4.99,4.96,4.75,4.67,False,1.79,47,3379.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64475,-79.38872,Entire condo,Entire home/apt,2,1.0,1.0,125.0,28,1125,0,0,0,0,8,0,0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,True,0.14,27,1812.0
no response,0.0,0.0,False,2.0,True,True,Cabbagetown-South St.James Town,43.66258,-79.36644,Private room in townhouse,Private room,2,1.0,1.0,77.0,90,1125,30,60,90,90,82,0,0,4.78,4.78,4.72,4.88,4.89,4.75,4.73,True,1.41,25,1013.0
no response,0.0,0.0,False,3.0,True,False,Kensington-Chinatown,43.65232,-79.40095,Entire townhouse,Entire home/apt,6,3.0,3.0,600.0,28,30,0,0,0,0,18,0,0,4.78,4.94,4.22,4.89,4.83,5.0,4.89,False,0.32,39,2280.0
within an hour,0.78,0.99,False,23.0,True,True,South Parkdale,43.64132,-79.43134,Shared room in hostel,Shared room,1,1.0,2.0,42.0,1,1125,13,43,68,341,40,14,0,4.15,4.1,3.9,4.48,4.3,4.58,4.25,True,0.69,26,910.0
no response,0.0,0.0,False,1.0,True,True,Roncesvalles,43.65262,-79.44894,Entire loft,Entire home/apt,2,1.0,1.0,99.0,28,1125,0,0,0,0,18,0,0,5.0,5.0,4.89,4.94,4.94,4.94,4.94,False,0.32,35,2104.0
within an hour,1.0,1.0,False,1.0,True,True,Banbury-Don Mills,43.74355,-79.3592,Entire guest suite,Entire home/apt,2,2.0,2.0,69.0,1,1125,0,2,28,28,121,34,2,4.33,4.45,4.31,4.92,4.74,4.71,4.48,False,2.08,25,3385.0
within an hour,1.0,1.0,False,6.0,True,True,Kingsview Village-The Westway,43.70317,-79.55345,Entire bungalow,Entire home/apt,8,3.0,4.0,145.0,28,365,0,0,0,159,17,3,0,4.71,4.65,4.71,4.88,4.76,4.71,4.71,True,0.32,34,2589.0
within an hour,1.0,1.0,False,3.0,True,True,Rouge,43.79256,-79.13043,Private room in home,Private room,1,1.0,1.0,70.0,31,365,0,0,0,250,14,1,0,5.0,5.0,4.93,5.0,5.0,5.0,5.0,True,0.31,35,3386.0
within an hour,0.73,1.0,False,11.0,True,True,North Riverdale,43.67775,-79.34802,Entire home,Entire home/apt,8,4.0,4.0,221.0,28,1125,0,0,10,285,126,0,0,4.9,4.93,4.93,4.9,4.88,4.9,4.84,True,2.22,29,2278.0
within an hour,1.0,1.0,True,4.0,True,True,Parkwoods-Donalda,43.76339,-79.32364,Entire guest suite,Entire home/apt,2,1.0,1.0,100.0,1,31,1,10,40,299,190,49,1,4.94,4.99,4.99,4.97,5.0,4.9,4.89,True,3.26,15,3385.0
within an hour,1.0,1.0,False,1.0,True,True,Palmerston-Little Italy,43.65896,-79.41113,Entire home,Entire home/apt,4,2.0,2.0,230.0,28,35,1,18,43,75,58,1,0,5.0,5.0,5.0,5.0,4.98,4.98,4.9,False,0.99,19,2711.0
within a few hours,1.0,0.97,True,2.0,True,True,Broadview North,43.68477,-79.34854,Entire home,Entire home/apt,4,1.0,1.0,140.0,3,365,8,18,47,307,120,46,1,4.84,4.95,4.87,4.88,4.85,4.8,4.85,False,2.18,33,1794.0
no response,0.0,0.0,False,5.0,True,True,Niagara,43.63698,-79.40443,Private room in condo,Private room,2,1.0,1.0,139.0,28,1125,0,0,0,0,16,0,0,4.94,4.81,4.88,4.94,4.88,4.88,4.81,False,0.27,29,2452.0
no response,0.0,0.0,False,1.0,True,True,South Parkdale,43.63596,-79.43045,Private room in rental unit,Private room,2,2.0,3.0,45.0,28,1125,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.03,14,2502.0
no response,0.0,0.0,False,1.0,True,True,Weston,43.69978,-79.52044,Private room in rental unit,Private room,2,1.0,1.0,50.0,28,1125,0,0,0,0,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,True,0.09,30,2658.0
within an hour,1.0,0.99,False,2.0,True,True,Waterfront Communities-The Island,43.64231,-79.37984,Entire condo,Entire home/apt,3,1.0,2.0,193.0,2,120,2,8,33,178,211,46,10,4.56,4.66,4.29,4.56,4.83,4.95,4.6,False,3.79,42,3383.0
within an hour,1.0,1.0,True,1.0,True,True,High Park-Swansea,43.64112,-79.47542,Entire guest suite,Entire home/apt,4,1.0,1.0,200.0,3,1125,2,24,54,144,174,23,4,4.91,4.96,4.99,4.98,4.99,4.8,4.88,False,2.99,50,2749.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64364,-79.39001,Entire condo,Entire home/apt,4,1.0,2.0,129.0,28,365,0,0,0,0,164,0,0,4.93,4.93,4.84,4.68,4.92,5.0,4.87,False,2.81,37,3005.0
within an hour,1.0,1.0,True,4.0,True,True,Alderwood,43.60756,-79.53616,Private room in bungalow,Private room,2,1.0,1.0,71.0,1,61,5,18,35,96,510,139,14,4.9,4.9,4.77,4.99,4.98,4.86,4.88,True,8.79,36,3226.0
