host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
within an hour,1.0,1.0,False,1.0,True,True,South Riverdale,43.66884,-79.32725,Entire rental unit,Entire home/apt,1,1.0,1.0,45.0,90,365,0,0,0,18,26,0,0,4.92,5.0,4.82,5.0,5.0,4.82,4.82,False,0.17,40,634.0
within a few hours,1.0,0.65,False,8.0,True,True,Mount Pleasant West,43.69958,-79.38814,Entire rental unit,Entire home/apt,1,1.0,1.0,55.0,60,365,0,0,27,302,9,1,0,4.78,4.78,4.78,4.89,4.89,5.0,4.78,False,0.11,30,570.0
no response,0.0,0.0,False,1.0,True,True,Little Portugal,43.64132,-79.42307,Entire condo,Entire home/apt,2,1.0,1.0,120.0,28,1125,0,0,0,0,24,0,0,5.0,5.0,4.86,4.86,4.91,5.0,5.0,False,0.49,17,1937.0
within a day,1.0,1.0,False,2.0,True,True,Niagara,43.63743,-79.40104,Entire condo,Entire home/apt,2,1.0,1.0,67.0,180,500,0,0,6,281,11,1,0,4.5,4.4,4.3,4.4,4.3,4.8,4.6,False,0.13,39,1014.0
within an hour,1.0,1.0,True,6.0,True,True,South Parkdale,43.63539,-79.4401,Entire home,Entire home/apt,5,2.0,2.0,100.0,60,365,0,0,0,266,114,1,0,4.63,4.64,4.66,4.95,4.96,4.57,4.68,False,0.77,32,711.0
within a few hours,0.9,0.46,True,4.0,True,True,The Beaches,43.6723864,-79.28857737,Entire rental unit,Entire home/apt,1,1.0,1.0,78.0,28,90,0,0,0,0,3,2,1,4.67,4.67,4.33,5.0,4.33,5.0,4.33,False,0.03,53,712.0
within a day,1.0,0.22,False,1.0,True,True,Waterfront Communities-The Island,43.64584,-79.39051,Entire rental unit,Entire home/apt,3,1.0,1.0,100.0,14,1125,0,0,0,6,8,1,0,4.71,4.75,4.13,4.75,4.63,5.0,4.38,False,0.06,12,945.0
no response,0.0,0.0,False,1.0,True,False,High Park-Swansea,43.6466,-79.48742,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,28,365,2,2,2,2,37,0,0,4.92,4.89,5.0,4.97,4.95,4.89,4.89,False,0.3,47,1031.0
within a few hours,1.0,0.0,False,13.0,True,True,Church-Yonge Corridor,43.67018,-79.38372,Entire condo,Entire home/apt,2,1.0,2.0,65.0,180,600,20,44,73,347,68,1,0,4.78,4.88,4.94,4.77,4.82,4.95,4.82,False,0.5,41,1052.0
within an hour,1.0,0.83,True,1.0,True,True,Wexford/Maryvale,43.74922,-79.29188,Entire home,Entire home/apt,4,2.0,4.0,137.0,2,31,18,48,78,353,51,19,4,4.98,4.96,5.0,5.0,4.98,4.86,4.9,False,0.74,53,727.0
within a day,1.0,0.0,False,3.0,True,True,Humewood-Cedarvale,43.68636,-79.42277,Entire home,Entire home/apt,2,1.0,1.0,70.0,28,1125,2,2,2,274,25,0,0,4.63,4.6,4.44,4.92,4.92,4.96,4.76,False,0.19,26,1010.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.67193,-79.3859,Entire rental unit,Entire home/apt,2,1.0,1.0,126.0,28,365,0,0,0,275,63,4,0,4.18,4.53,4.03,4.77,4.82,4.95,4.25,False,0.43,26,730.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.67129,-79.38634,Private room in rental unit,Private room,2,1.0,1.0,79.0,28,1000,0,0,0,249,8,0,0,4.0,4.5,4.0,4.38,4.75,4.75,4.13,False,0.06,23,730.0
within a few hours,1.0,0.99,False,5.0,True,True,Church-Yonge Corridor,43.67005,-79.38372,Entire rental unit,Entire home/apt,4,2.0,2.0,219.0,180,1125,0,0,0,129,62,0,0,4.92,4.93,4.88,4.78,4.9,4.93,4.83,False,0.46,23,1028.0
within a few hours,1.0,0.81,False,19.0,True,True,Bay Street Corridor,43.66123,-79.38336,Entire condo,Entire home/apt,3,1.0,1.0,140.0,28,1100,8,8,33,308,83,5,1,4.13,4.5,3.91,4.63,4.68,4.91,4.19,False,0.57,37,730.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.67128,-79.38422,Private room in rental unit,Private room,2,1.0,1.0,80.0,28,365,0,22,52,327,9,0,0,4.13,4.33,3.11,4.44,4.56,5.0,4.44,False,0.07,17,730.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.6718,-79.38488,Private room in rental unit,Private room,2,1.0,1.0,96.0,28,1125,0,0,0,257,19,0,0,4.27,4.13,3.75,4.38,4.75,4.81,4.19,False,0.13,23,730.0
no response,0.0,0.0,False,3.0,True,True,South Parkdale,43.63677,-79.42099,Entire loft,Entire home/apt,2,1.0,1.0,85.0,28,365,0,0,0,0,55,0,0,4.7,4.78,4.84,4.9,4.88,4.88,4.66,False,0.41,11,669.0
within a few hours,1.0,0.81,False,19.0,True,True,Church-Yonge Corridor,43.66899,-79.38559,Entire condo,Entire home/apt,3,1.0,1.0,143.0,30,1100,4,34,64,339,58,2,0,4.61,4.79,4.41,4.79,4.85,4.93,4.51,False,0.4,32,730.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.64296,-79.40451,Private room in condo,Private room,2,1.0,1.0,55.0,91,125,0,0,0,0,24,0,0,4.88,4.96,5.0,4.88,5.0,4.92,4.83,False,0.32,28,770.0
within an hour,1.0,1.0,True,7.0,True,True,Junction Area,43.66492,-79.47384,Entire guest suite,Entire home/apt,3,2.0,2.0,173.0,2,90,6,20,45,45,123,14,4,4.93,4.88,4.98,4.99,4.97,4.77,4.83,False,0.92,28,990.0
